"Re","Im","Norm","Order"
6.8448,0,6.8448,2
5.3209,0,5.3209,3
4.5413,0,4.5413,4
3.1747,0,3.1747,5
2.0291,0,2.0291,6
0.6107,0,0.6107,7
-0.2479,0,0.2479,8
-1.1507,0,1.1507,9
-2.5929,0,2.5929,10
-3.9945,0,3.9945,11
-4.9972,0,4.9972,12
-6.2577,0,6.2577,13
-7.8245,0,7.8245,14
-9.3807,0,9.3807,15
9.5828,0,9.5828,1
8.1741,0,8.1741,2
7.0958,0,7.0958,3
5.1341,0,5.1341,4
4.1433,0,4.1433,5
3.1841,0,3.1841,6
1.3038,0,1.3038,7
0.695,0,0.695,8
-0.9606,0,0.9606,9
-1.6184,0,1.6184,10
-3.4023,0,3.4023,11
-4.6578,0,4.6578,12
-5.6419,0,5.6419,13
-6.8404,0,6.8404,14
-9.6338,0,9.6338,15
8.2828,0,8.2828,1
6.323,0,6.323,2
5.017,0,5.017,3
3.9346,0,3.9346,4
2.586,0,2.586,5
2.0906,0,2.0906,6
1.4237,0,1.4237,7
-0.2871,0,0.2871,8
-1.0256,0,1.0256,9
-2.2641,0,2.2641,10
-3.0908,0,3.0908,11
-4.8222,0,4.8222,12
-6.4906,0,6.4906,13
-7.2617,0,7.2617,14
-8.9626,0,8.9626,15
8.9933,0,8.9933,1
7.6838,0,7.6838,2
5.5704,0,5.5704,3
4.7076,0,4.7076,4
3.9902,0,3.9902,5
2.9023,0,2.9023,6
1.6368,0,1.6368,7
0.1421,0,0.1421,8
-0.8384,0,0.8384,9
-1.4462,0,1.4462,10
-2.4191,0,2.4191,11
-4.2375,0,4.2375,12
-4.8824,0,4.8824,13
-6.0114,0,6.0114,14
-9.3123,0,9.3123,15
8.6389,0,8.6389,1
7.0921,0,7.0921,2
5.9836,0,5.9836,3
4.8208,0,4.8208,4
3.8068,0,3.8068,5
2.3411,0,2.3411,6
1.0681,0,1.0681,7
0.2907,0,0.2907,8
-0.3462,0,0.3462,9
-1.3574,0,1.3574,10
-2.9396,0,2.9396,11
-4.4771,0,4.4771,12
-6.4699,0,6.4699,13
-8.0382,0,8.0382,14
-9.0708,0,9.0708,15
8.6233,0,8.6233,1
6.5552,0,6.5552,2
5.7577,0,5.7577,3
3.9888,0,3.9888,4
3.0288,0,3.0288,5
2.4864,0,2.4864,6
0.2802,0,0.2802,7
-0.2794,0,0.2794,8
-1.3456,0,1.3456,9
-2.6788,0,2.6788,10
-4.0401,0,4.0401,11
-4.9474,0,4.9474,12
-5.957,0,5.957,13
-7.9786,0,7.9786,14
-9.7507,0,9.7507,15
9.3407,0,9.3407,1
7.3122,0,7.3122,2
6.3901,0,6.3901,3
5.0976,0,5.0976,4
4.2388,0,4.2388,5
2.5136,0,2.5136,6
1.7266,0,1.7266,7
0.9528,0,0.9528,8
-0.8731,0,0.8731,9
-1.7952,0,1.7952,10
-2.4004,0,2.4004,11
-4.1916,0,4.1916,12
-5.7858,0,5.7858,13
-7.3952,0,7.3952,14
-9.1129,0,9.1129,15
8.8927,0,8.8927,1
7.7711,0,7.7711,2
6.5754,0,6.5754,3
4.5851,0,4.5851,4
3.045,0,3.045,5
1.5875,0,1.5875,6
0.6716,0,0.6716,7
-0.0907,0,0.0907,8
-1.155,0,1.155,9
-1.6741,0,1.6741,10
-2.8889,0,2.8889,11
-3.8523,0,3.8523,12
-5.2201,0,5.2201,13
-7.2243,0,7.2243,14
-8.6835,0,8.6835,15
9.0573,0,9.0573,1
7.1188,0,7.1188,2
6.0567,0,6.0567,3
4.7384,0,4.7384,4
3.5055,0,3.5055,5
2.7278,0,2.7278,6
1.1902,0,1.1902,7
-0.3007,0,0.3007,8
-0.9557,0,0.9557,9
-2.3517,0,2.3517,10
-3.4806,0,3.4806,11
-4.7193,0,4.7193,12
-6.3863,0,6.3863,13
-8.1201,0,8.1201,14
-9.0535,0,9.0535,15
8.2921,0,8.2921,1
7.3358,0,7.3358,2
5.1157,0,5.1157,3
4.678,0,4.678,4
3.1063,0,3.1063,5
1.9455,0,1.9455,6
0.876,0,0.876,7
-0.3981,0,0.3981,8
-1.6633,0,1.6633,9
-2.5414,0,2.5414,10
-4.1925,0,4.1925,11
-4.7853,0,4.7853,12
-5.8211,0,5.8211,13
-7.086,0,7.086,14
-8.5974,0,8.5974,15
9.0782,0,9.0782,1
8.0911,0,8.0911,2
