"Re","Im","Norm","Order"
-7.4345,0,7.4345,15
6.3575,0,6.3575,1
4.6931,0,4.6931,2
4.0142,0,4.0142,3
3.2545,0,3.2545,4
2.7513,0,2.7513,5
2.1534,0,2.1534,6
1.4598,0,1.4598,7
0.5699,0,0.5699,8
-0.5113,0,0.5113,9
-1.0542,0,1.0542,10
-2.3549,0,2.3549,11
-2.9061,0,2.9061,12
-3.8303,0,3.8303,13
-4.9535,0,4.9535,14
-6.2245,0,6.2245,15
6.287,0,6.287,1
5.4111,0,5.4111,2
4.3471,0,4.3471,3
3.2572,0,3.2572,4
2.6165,0,2.6165,5
2.2512,0,2.2512,6
1.0181,0,1.0181,7
0.2235,0,0.2235,8
-0.3735,0,0.3735,9
-1.3725,0,1.3725,10
-1.8099,0,1.8099,11
-3.6261,0,3.6261,12
-4.5333,0,4.5333,13
-6.6687,0,6.6687,14
-7.9189,0,7.9189,15
6.1075,0,6.1075,1
4.5022,0,4.5022,2
3.8471,0,3.8471,3
2.6764,0,2.6764,4
2.2414,0,2.2414,5
1.7793,0,1.7793,6
1.713,0,1.713,7
0.4685,0,0.4685,8
-0.049,0,0.049,9
-1.2958,0,1.2958,10
-1.988,0,1.988,11
-2.7862,0,2.7862,12
-3.9711,0,3.9711,13
-5.0239,0,5.0239,14
-7.2123,0,7.2123,15
6.6884,0,6.6884,1
5.9252,0,5.9252,2
5.043,0,5.043,3
4.258,0,4.258,4
3.3825,0,3.3825,5
2.6381,0,2.6381,6
1.7931,0,1.7931,7
0.2396,0,0.2396,8
-0.1685,0,0.1685,9
-1.1353,0,1.1353,10
-3.1623,0,3.1623,11
-3.6678,0,3.6678,12
-4.2919,0,4.2919,13
-5.0894,0,5.0894,14
-6.897,0,6.897,15
6.5085,0,6.5085,1
4.7587,0,4.7587,2
4.0113,0,4.0113,3
2.8385,0,2.8385,4
2.6376,0,2.6376,5
1.4191,0,1.4191,6
0.9004,0,0.9004,7
0.507,0,0.507,8
-0.277,0,0.277,9
-1.3635,0,1.3635,10
-1.9689,0,1.9689,11
-3.3681,0,3.3681,12
-4.5694,0,4.5694,13
-5.4184,0,5.4184,14
-7.4867,0,7.4867,15
6.6668,0,6.6668,1
5.7116,0,5.7116,2
4.8602,0,4.8602,3
2.5599,0,2.5599,4
2.2335,0,2.2335,5
1.5738,0,1.5738,6
0.2151,0,0.2151,7
-0.6628,0,0.6628,8
-1.3887,0,1.3887,9
-1.9014,0,1.9014,10
-2.4001,0,2.4001,11
-2.7726,0,2.7726,12
-3.6533,0,3.6533,13
-5.3471,0,5.3471,14
-6.219,0,6.219,15
6.196,0,6.196,1
4.8406,0,4.8406,2
3.9445,0,3.9445,3
3.6838,0,3.6838,4
2.4838,0,2.4838,5
1.7468,0,1.7468,6
1.2656,0,1.2656,7
0.1759,0,0.1759,8
-1.0993,0,1.0993,9
-2.1536,0,2.1536,10
-2.4694,0,2.4694,11
-3.1357,0,3.1357,12
-3.7611,0,3.7611,13
-5.2608,0,5.2608,14
-5.4486,0,5.4486,15
6.2138,0,6.2138,1
5.3141,0,5.3141,2
3.888,0,3.888,3
3.3586,0,3.3586,4
2.1249,0,2.1249,5
1.6226,0,1.6226,6
0.4024,0,0.4024,7
0.1948,0,0.1948,8
-0.7049,0,0.7049,9
-0.7387,0,0.7387,10
-2.2275,0,2.2275,11
-2.5397,0,2.5397,12
-3.7683,0,3.7683,13
-5.4522,0,5.4522,14
-7.6319,0,7.6319,15
5.0499,0,5.0499,1
3.9564,0,3.9564,2
2.9486,0,2.9486,3
1.9911,0,1.9911,4
1.7757,0,1.7757,5
0.9251,0,0.9251,6
0.5205,0,0.5205,7
-0.3237,0,0.3237,8
-1.14,0,1.14,9
-1.5584,0,1.5584,10
-1.9386,0,1.9386,11
-3.4645,0,3.4645,12
-4.4478,0,4.4478,13
-4.6595,0,4.6595,14
-5.316,0,5.316,15
6.0912,0,6.0912,1
5.3789,0,5.3789,2
3.8367,0,3.8367,3
3.066,0,3.066,4
2.6557,0,2.6557,5
1.7982,0,1.7982,6
1.184,0,1.184,7
0.1382,0,0.1382,8
-0.6731,0,0.6731,9
-2.1555,0,2.1555,10
-2.8925,0,2.8925,11
-3.9139,0,3.9139,12
-5.2208,0,5.2208,13
-6.01,0,6.01,14
-7.5189,0,7.5189,15
6.4472,0,6.4472,1
5.2954,0,5.2954,2
