"Re","Im","Norm","Order"
2.0906,0,2.0906,12
1.4237,0,1.4237,13
-1.0256,0,1.0256,14
-0.2871,0,0.2871,15
-9.3123,0,9.3123,1
8.9933,0,8.9933,2
7.6838,0,7.6838,3
-6.0114,0,6.0114,4
5.5704,0,5.5704,5
-4.8824,0,4.8824,6
4.7076,0,4.7076,7
-4.2375,0,4.2375,8
3.9902,0,3.9902,9
2.9023,0,2.9023,10
-2.4191,0,2.4191,11
1.6368,0,1.6368,12
-1.4462,0,1.4462,13
-0.8384,0,0.8384,14
0.1421,0,0.1421,15
-9.0708,0,9.0708,1
8.6389,0,8.6389,2
-8.0382,0,8.0382,3
7.0921,0,7.0921,4
-6.4699,0,6.4699,5
5.9836,0,5.9836,6
4.8208,0,4.8208,7
-4.4771,0,4.4771,8
3.8068,0,3.8068,9
-2.9396,0,2.9396,10
2.3411,0,2.3411,11
-1.3574,0,1.3574,12
1.0681,0,1.0681,13
-0.3462,0,0.3462,14
0.2907,0,0.2907,15
-9.7507,0,9.7507,1
8.6233,0,8.6233,2
-7.9786,0,7.9786,3
6.5552,0,6.5552,4
-5.957,0,5.957,5
5.7577,0,5.7577,6
-4.9474,0,4.9474,7
-4.0401,0,4.0401,8
3.9888,0,3.9888,9
3.0288,0,3.0288,10
-2.6788,0,2.6788,11
2.4864,0,2.4864,12
-1.3456,0,1.3456,13
0.2802,0,0.2802,14
-0.2794,0,0.2794,15
9.3407,0,9.3407,1
-9.1129,0,9.1129,2
-7.3952,0,7.3952,3
7.3122,0,7.3122,4
6.3901,0,6.3901,5
-5.7858,0,5.7858,6
5.0976,0,5.0976,7
4.2388,0,4.2388,8
-4.1916,0,4.1916,9
2.5136,0,2.5136,10
-2.4004,0,2.4004,11
-1.7952,0,1.7952,12
1.7266,0,1.7266,13
0.9528,0,0.9528,14
-0.8731,0,0.8731,15
8.8927,0,8.8927,1
-8.6835,0,8.6835,2
7.7711,0,7.7711,3
-7.2243,0,7.2243,4
6.5754,0,6.5754,5
-5.2201,0,5.2201,6
4.5851,0,4.5851,7
-3.8523,0,3.8523,8
3.045,0,3.045,9
-2.8889,0,2.8889,10
-1.6741,0,1.6741,11
1.5875,0,1.5875,12
-1.155,0,1.155,13
0.6716,0,0.6716,14
-0.0907,0,0.0907,15
9.0573,0,9.0573,1
-9.0535,0,9.0535,2
-8.1201,0,8.1201,3
7.1188,0,7.1188,4
-6.3863,0,6.3863,5
6.0567,0,6.0567,6
4.7384,0,4.7384,7
-4.7193,0,4.7193,8
3.5055,0,3.5055,9
-3.4806,0,3.4806,10
2.7278,0,2.7278,11
-2.3517,0,2.3517,12
1.1902,0,1.1902,13
-0.9557,0,0.9557,14
-0.3007,0,0.3007,15
-8.5974,0,8.5974,1
8.2921,0,8.2921,2
7.3358,0,7.3358,3
-7.086,0,7.086,4
-5.8211,0,5.8211,5
5.1157,0,5.1157,6
-4.7853,0,4.7853,7
4.678,0,4.678,8
-4.1925,0,4.1925,9
3.1063,0,3.1063,10
-2.5414,0,2.5414,11
1.9455,0,1.9455,12
-1.6633,0,1.6633,13
0.876,0,0.876,14
-0.3981,0,0.3981,15
9.0782,0,9.0782,1
-8.5743,0,8.5743,2
8.0911,0,8.0911,3
-7.5464,0,7.5464,4
6.0083,0,6.0083,5
-5.9052,0,5.9052,6
-4.6057,0,4.6057,7
4.5837,0,4.5837,8
-3.8404,0,3.8404,9
3.7664,0,3.7664,10
-2.6758,0,2.6758,11
2.4977,0,2.4977,12
-1.498,0,1.498,13
1.2743,0,1.2743,14
0.4491,0,0.4491,15
9.5114,0,9.5114,1
-8.9036,0,8.9036,2
-7.8802,0,7.8802,3
6.9251,0,6.9251,4
6.7024,0,6.7024,5
-6.1594,0,6.1594,6
5.2325,0,5.2325,7
-4.9113,0,4.9113,8
4.0242,0,4.0242,9
-3.4168,0,3.4168,10
2.6273,0,2.6273,11
-2.3802,0,2.3802,12
-1.2927,0,1.2927,13
1.1634,0,1.1634,14
0.4735,0,0.4735,15
-9.7401,0,9.7401,1
8.7355,0,8.7355,2
-7.3812,0,7.3812,3
7.1923,0,7.1923,4
-5.8224,0,5.8224,5
5.5951,0,5.5951,6
5.1432,0,5.1432,7
-5.0011,0,5.0011,8
3.4286,0,3.4286,9
-3.3745,0,3.3745,10
2.2407,0,2.2407,11
