"Re","Im","Norm","Order"
4.383,0,4.383,2
4.7746,0,4.7746,1
-4.6764,0,4.6764,2
-4.7699,0,4.7699,1
4.7498,0,4.7498,2
-4.2798,0,4.2798,1
3.9721,0,3.9721,2
-6.0932,0,6.0932,1
5.2866,0,5.2866,2
5.3028,0,5.3028,1
-4.5455,0,4.5455,2
4.4161,0,4.4161,1
-3.8369,0,3.8369,2
5.6453,0,5.6453,1
-4.6379,0,4.6379,2
5.3067,0,5.3067,1
-4.5183,0,4.5183,2
5.0325,0,5.0325,1
-4.5648,0,4.5648,2
4.6316,0,4.6316,1
3.6645,0,3.6645,2
-5.4802,0,5.4802,1
4.6511,0,4.6511,2
-5.1246,0,5.1246,1
-4.635,0,4.635,2
-5.8746,0,5.8746,1
5.2875,0,5.2875,2
-5.6534,0,5.6534,1
5.1482,0,5.1482,2
-4.8128,0,4.8128,1
4.1705,0,4.1705,2
4.5505,0,4.5505,1
-4.5055,0,4.5055,2
-7.0167,0,7.0167,1
6.3668,0,6.3668,2
5.9153,0,5.9153,1
4.8782,0,4.8782,2
6.9727,0,6.9727,1
-5.2092,0,5.2092,2
6.3999,0,6.3999,1
-4.1363,0,4.1363,2
6.0858,0,6.0858,1
-4.9198,0,4.9198,2
-5.3667,0,5.3667,1
5.0148,0,5.0148,2
-5.5117,0,5.5117,1
-4.7979,0,4.7979,2
5.5188,0,5.5188,1
-5.2507,0,5.2507,2
6.3067,0,6.3067,1
-5.4196,0,5.4196,2
5.9677,0,5.9677,1
-4.6491,0,4.6491,2
-6.0525,0,6.0525,1
5.0769,0,5.0769,2
-5.3085,0,5.3085,1
3.9425,0,3.9425,2
-4.0468,0,4.0468,1
3.7681,0,3.7681,2
-4.6357,0,4.6357,1
4.0081,0,4.0081,2
5.411,0,5.411,1
-5.007,0,5.007,2
-5.7882,0,5.7882,1
5.6527,0,5.6527,2
5.0005,0,5.0005,1
-4.9573,0,4.9573,2
-5.7279,0,5.7279,1
5.5757,0,5.5757,2
5.9508,0,5.9508,1
-5.0116,0,5.0116,2
-5.7834,0,5.7834,1
4.5814,0,4.5814,2
4.9944,0,4.9944,1
-4.2384,0,4.2384,2
-6.1232,0,6.1232,1
4.2886,0,4.2886,2
5.3587,0,5.3587,1
-4.5689,0,4.5689,2
-6.7298,0,6.7298,1
4.4299,0,4.4299,2
5.4918,0,5.4918,1
-4.2269,0,4.2269,2
-5.6658,0,5.6658,1
5.3028,0,5.3028,2
-5.2615,0,5.2615,1
4.5944,0,4.5944,2
4.8836,0,4.8836,1
-4.6804,0,4.6804,2
-5.4322,0,5.4322,1
-4.4515,0,4.4515,2
5.5368,0,5.5368,1
-5.5282,0,5.5282,2
-5.8067,0,5.8067,1
5.044,0,5.044,2
-7.9084,0,7.9084,1
6.1774,0,6.1774,2
-5.9764,0,5.9764,1
4.7139,0,4.7139,2
-5.0328,0,5.0328,1
4.7092,0,4.7092,2
-5.2656,0,5.2656,1
-4.2999,0,4.2999,2
-5.4086,0,5.4086,1
-4.6246,0,4.6246,2
-5.5821,0,5.5821,1
4.9592,0,4.9592,2
-5.4408,0,5.4408,1
4.335,0,4.335,2
-5.4017,0,5.4017,1
4.904,0,4.904,2
5.6973,0,5.6973,1
-4.6812,0,4.6812,2
6.1483,0,6.1483,1
-4.9663,0,4.9663,2
-5.4525,0,5.4525,1
4.1611,0,4.1611,2
-5.6366,0,5.6366,1
5.3664,0,5.3664,2
6.4727,0,6.4727,1
-5.222,0,5.222,2
6.7952,0,6.7952,1
-6.1259,0,6.1259,2
5.723,0,5.723,1
4.3661,0,4.3661,2
-5.3294,0,5.3294,1
4.8019,0,4.8019,2
-6.3389,0,6.3389,1
6.2878,0,6.2878,2
6.5924,0,6.5924,1
-4.7502,0,4.7502,2
5.3638,0,5.3638,1
-5.3521,0,5.3521,2
4.8601,0,4.8601,1
3.8803,0,3.8803,2
4.2813,0,4.2813,1
-3.9157,0,3.9157,2
5.6069,0,5.6069,1
-4.5464,0,4.5464,2
5.2421,0,5.2421,1
-4.6671,0,4.6671,2
-7.0811,0,7.0811,1
5.5355,0,5.5355,2
-5.3642,0,5.3642,1
4.0264,0,4.0264,2
5.8849,0,5.8849,1
-5.3577,0,5.3577,2
-6.0387,0,6.0387,1
4.5105,0,4.5105,2
-5.9567,0,5.9567,1
4.5198,0,4.5198,2
