"Re","Im","Norm","Order"
-7.4345,0,7.4345,1
7.1616,0,7.1616,2
-5.5007,0,5.5007,3
-5.1308,0,5.1308,4
4.2629,0,4.2629,5
3.9869,0,3.9869,6
-3.6437,0,3.6437,7
3.2594,0,3.2594,8
3.1861,0,3.1861,9
2.3634,0,2.3634,10
-1.745,0,1.745,11
-1.299,0,1.299,12
-1.0359,0,1.0359,13
0.9889,0,0.9889,14
-0.3387,0,0.3387,15
6.3575,0,6.3575,1
-6.2245,0,6.2245,2
-4.9535,0,4.9535,3
4.6931,0,4.6931,4
4.0142,0,4.0142,5
-3.8303,0,3.8303,6
3.2545,0,3.2545,7
-2.9061,0,2.9061,8
2.7513,0,2.7513,9
-2.3549,0,2.3549,10
2.1534,0,2.1534,11
1.4598,0,1.4598,12
-1.0542,0,1.0542,13
0.5699,0,0.5699,14
-0.5113,0,0.5113,15
-7.9189,0,7.9189,1
-6.6687,0,6.6687,2
6.287,0,6.287,3
5.4111,0,5.4111,4
-4.5333,0,4.5333,5
4.3471,0,4.3471,6
-3.6261,0,3.6261,7
3.2572,0,3.2572,8
2.6165,0,2.6165,9
2.2512,0,2.2512,10
-1.8099,0,1.8099,11
-1.3725,0,1.3725,12
1.0181,0,1.0181,13
-0.3735,0,0.3735,14
0.2235,0,0.2235,15
-7.2123,0,7.2123,1
6.1075,0,6.1075,2
-5.0239,0,5.0239,3
4.5022,0,4.5022,4
-3.9711,0,3.9711,5
3.8471,0,3.8471,6
-2.7862,0,2.7862,7
2.6764,0,2.6764,8
2.2414,0,2.2414,9
-1.988,0,1.988,10
1.7793,0,1.7793,11
1.713,0,1.713,12
-1.2958,0,1.2958,13
0.4685,0,0.4685,14
-0.049,0,0.049,15
-6.897,0,6.897,1
6.6884,0,6.6884,2
5.9252,0,5.9252,3
-5.0894,0,5.0894,4
5.043,0,5.043,5
-4.2919,0,4.2919,6
4.258,0,4.258,7
-3.6678,0,3.6678,8
3.3825,0,3.3825,9
-3.1623,0,3.1623,10
2.6381,0,2.6381,11
1.7931,0,1.7931,12
-1.1353,0,1.1353,13
0.2396,0,0.2396,14
-0.1685,0,0.1685,15
-7.4867,0,7.4867,1
6.5085,0,6.5085,2
-5.4184,0,5.4184,3
4.7587,0,4.7587,4
-4.5694,0,4.5694,5
4.0113,0,4.0113,6
-3.3681,0,3.3681,7
2.8385,0,2.8385,8
2.6376,0,2.6376,9
-1.9689,0,1.9689,10
1.4191,0,1.4191,11
-1.3635,0,1.3635,12
0.9004,0,0.9004,13
0.507,0,0.507,14
-0.277,0,0.277,15
6.6668,0,6.6668,1
-6.219,0,6.219,2
5.7116,0,5.7116,3
-5.3471,0,5.3471,4
4.8602,0,4.8602,5
-3.6533,0,3.6533,6
-2.7726,0,2.7726,7
2.5599,0,2.5599,8
-2.4001,0,2.4001,9
2.2335,0,2.2335,10
-1.9014,0,1.9014,11
1.5738,0,1.5738,12
